"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"1700040L08Rik",7789,1,1,0.500302724520686,0.500302724520686,0.5,0.500117315814172,0.50039957378796
"Chmp3",7790,1,1,0.450763843930299,0.450763843930299,0.496060427174169,0.494710579877446,0.418692966716294
"Kdm3a",7791,1,1,0.469840451759986,0.469840451759986,0.506216604998296,0.488250454452777,0.47006766391967
"Reep1",7792,1,1,0.513109261730726,0.513109261730726,0.493523359603068,0.4996694273026,0.509413879940515
"Mrpl35",7793,1,1,0.492094320810834,0.492094320810834,0.49850354377828,0.492671639436877,0.510908741017414
"Immt",7794,1,1,0.574100777969467,0.574100777969467,0.531560400293753,0.54376419493319,0.536980705248531
"Ptcd3",7795,1,1,0.624797731555324,0.624797731555324,0.482763494621046,0.511144628580282,0.589667662604201
"Polr1a",7796,1,1,0.519321423677293,0.519321423677293,0.497552316334994,0.484162738852848,0.524271362637321
"Gm26628",7797,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"St3gal5",7798,1,1,0.601973456046674,0.601973456046674,0.486911951763486,0.515420441937222,0.501635876199066
"4933431G14Rik",7799,1,1,0.499900438072481,0.499900438072481,0.499900464169972,0.499900438072481,0.499900438072481
"Gm38832",7800,1,1,0.50020450883921,0.50020450883921,0.500063103732828,0.500152823587477,0.500200449932922
"Sftpb",7802,1,1,0.500002692492086,0.500002692492086,0.499931937743914,0.499918191959134,0.499800876144962
"Usp39",7803,1,1,0.524945798526845,0.524945798526845,0.48800953393535,0.500230566922715,0.521572661535912
"Gm45051",7804,1,1,0.497037856840598,0.497037856840598,0.501788930801459,0.498432401889686,0.504031197202209
"0610030E20Rik",7805,1,1,0.437856659758616,0.437856659758616,0.491267518593157,0.486187219219947,0.469738982255381
"Tmem150a",7806,1,1,0.448458367441582,0.448458367441582,0.507447545348305,0.508816019462745,0.485403383344504
"Rnf181",7807,1,1,0.463107051476028,0.463107051476028,0.486600504307913,0.49076968424806,0.464769637993468
"Vamp5",7808,1,1,0.573358775374226,0.573358775374226,0.494947760652604,0.504022213102331,0.556539505345367
"Vamp8",7809,1,1,0.425514296128317,0.425514296128317,0.515621879718752,0.525576552796975,0.379848989433175
"Ggcx",7810,1,1,0.486645339718156,0.486645339718156,0.498315563551827,0.500071389312646,0.493328846946637
"Sh2d6",7811,1,1,0.388162096864613,0.388162096864613,0.505036006708099,0.479765101128942,0.374690413857238
"Elmod3",7813,1,1,0.493138545596148,0.493138545596148,0.494332903768634,0.502852792620961,0.493927465024961
"Retsat",7814,1,1,0.52547971568891,0.52547971568891,0.498468338263149,0.503960985553756,0.49883519970839
"Tgoln1",7815,1,1,0.475633248017502,0.475633248017502,0.531939727322977,0.505647838389547,0.482203716540138
"Tcf7l1",7816,1,1,0.551823279286578,0.551823279286578,0.487513603317095,0.487074866831834,0.527140544311476
"Gm15401",7817,1,1,0.500203182686392,0.500203182686392,0.500424684468287,0.500252385514996,0.500033655856692
"Gm15402",7818,1,1,0.500738647026745,0.500738647026745,0.49865905872614,0.499604835859711,0.500276089415416
"Kcmf1",7819,1,1,0.37529296926018,0.37529296926018,0.517125878115323,0.485178658295803,0.359280434070908
"Gm26640",7820,1,1,0.501222090008805,0.501222090008805,0.50025197127397,0.500963171711293,0.501201718299896
"Gm20560",7822,1,1,0.499804914883092,0.499804914883092,0.499764313560308,0.499619506176577,0.499768572887712
"Dnah6",7823,1,1,0.505578140339921,0.505578140339921,0.499906153422973,0.499686106611902,0.505003318377297
"Suclg1",7824,1,1,0.555806037692478,0.555806037692478,0.511649241372039,0.51064100220877,0.569874411937502
"Gm9008",7825,1,1,0.50287771142995,0.50287771142995,0.498612161535117,0.498744846934399,0.500382918249738
"Gm44166",7826,1,1,0.500302724520686,0.500302724520686,0.5,0.500234631628343,0.500266382525306
"Ctnna2",7827,1,1,0.500621222222624,0.500621222222624,0.500770763294192,0.499861029116187,0.50013677167294
"Reg1",7828,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"Gm20594",7829,1,1,0.501634463255721,0.501634463255721,0.499817291466695,0.499914384217654,0.501036966383607
"Gcfc2",7830,1,1,0.510931698709332,0.510931698709332,0.501809469526743,0.504564290654672,0.51204298847458
"Mrpl19",7831,1,1,0.57248684998921,0.57248684998921,0.518545242349129,0.526447988307103,0.582435286868837
"Gm20383",7832,1,1,0.5,0.5,0.500262123197903,0.5,0.5
"Eva1a",7833,1,1,0.494406146758501,0.494406146758501,0.507435383917578,0.510202200883919,0.495485845232495
"Tacr1",7834,1,1,0.5,0.5,0.500393184796855,0.500117315814172,0.5
"Pole4",7835,1,1,0.477713218247381,0.477713218247381,0.508510652734782,0.517488699651146,0.434597016600585
"Gm17034",7837,1,1,0.500005384984173,0.500005384984173,0.50012599868573,0.499601752289924,0.499601752289924
"Gm32591",7838,1,1,0.499701314217443,0.499701314217443,0.499963437415346,0.499818630031615,0.499701314217443
"2310069B03Rik",7839,1,1,0.499105288898373,0.499105288898373,0.499659767012041,0.499942907238185,0.499137571987464
"Sema4f",7840,1,1,0.496842450232097,0.496842450232097,0.502198165555175,0.50047031447366,0.504344947229526
"M1ap",7841,1,1,0.530249304673965,0.530249304673965,0.50291655118527,0.503606351667865,0.537959456813038
"Dok1",7842,1,1,0.569359701270012,0.569359701270012,0.506994675589921,0.547537339694084,0.63785775724797
"Loxl3",7843,1,1,0.508101628314729,0.508101628314729,0.500531736375674,0.499090276831683,0.578293388684885
"Htra2",7844,1,1,0.537002637436651,0.537002637436651,0.494155362538513,0.501559865825469,0.571776564575643
"Aup1",7845,1,1,0.446715420866653,0.446715420866653,0.49956046605943,0.472918665146934,0.465846254105802
"Dqx1",7846,1,1,0.551262376923977,0.551262376923977,0.491446730062691,0.510063557045387,0.586223360951823
"Tlx2",7847,1,1,0.500100908173562,0.500100908173562,0.500131061598951,0.5,0.50039957378796
"Pcgf1",7848,1,1,0.484704615534233,0.484704615534233,0.498428957149486,0.49713379852254,0.496135862089597
"Lbx2",7849,1,1,0.499810098935019,0.499810098935019,0.500807560756264,0.501097774204574,0.499636681181385
"Ccdc142",7850,1,1,0.499307105245497,0.499307105245497,0.49979075031852,0.499825591424013,0.499670840947673
"Gm42688",7851,1,1,0.50010227451283,0.50010227451283,0.500293622869336,0.500369724689545,0.500433203123094
"Ccdc142os",7852,1,1,0.499925574696361,0.499925574696361,0.499595593282088,0.499387677793495,0.501864306375337
"Mrpl53",7853,1,1,0.500927161659234,0.500927161659234,0.501096251199832,0.500952963226468,0.500871100561896
"Mogs",7854,1,1,0.546761173138895,0.546761173138895,0.487415294069136,0.511148926889682,0.599854592907881
