"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.5"
"Cdc42se1",1008,1,1,0.356187096226612,0.356187096226612,0.509308653974115,0.474660866221806,0.446365365700818
"Taf12",1008,1,1,0.354152964217937,0.412078314025901,0.47411838212019,0.397362466921132,0.354152964217937
"Gm38394",1009,1,1,0.499107824888922,0.499107824888922,0.498251923884835,0.498058530341721,0.497510230602671
"Cyth3",1009,1,1,0.319659236479698,0.319659236479698,0.488702426767526,0.50609756537459,0.474374050380113
"Lax1",1010,1,1,0.5,0.5,0.5,0.499904598359092,0.5
"P4ha3",1010,1,1,0.270941935585747,0.270941935585747,0.493083556487716,0.479216008354568,0.469490550421567
"Peak1",1010,1,1,0.379811972121502,0.379811972121502,0.518967896680374,0.581611657575516,0.644743558636238
"Atp2b4",1011,1,1,0.389629564043877,0.389629564043877,0.502653753218853,0.486144131036279,0.471292413736975
"Rpl34",1011,1,1,0.731899264293906,0.731899264293906,0.54190925359551,0.649184045432949,0.592881507220191
"Gm28441",1012,1,1,0.5,0.5,0.5,0.499904598359092,0.499850701702001
"Wdr18",1012,1,1,0.345105752429306,0.474314013493726,0.455959476529097,0.400725002284276,0.345105752429306
"Trim16",1012,1,1,0.653748080089353,0.653748080089353,0.547979961067665,0.505997380320814,0.596304323485307
"Optc",1013,1,1,0.49755427281102,0.49755427281102,0.500070667227087,0.500700228910615,0.500837057118736
"Uqcrc1",1013,1,1,0.669847977759913,0.669847977759913,0.517204916843253,0.499225259631888,0.463053886745448
"Prelp",1014,1,1,0.473818438981172,0.473818438981172,0.499953080875323,0.499934020269061,0.499664440846581
"Atp5g1",1014,1,1,0.714472242046769,0.714472242046769,0.546254190354552,0.494876070868912,0.392434417354004
"Fmod",1015,1,1,0.46071299566968,0.46071299566968,0.500011817597713,0.500164392569456,0.497776184302674
"Utp20",1015,1,1,0.355958386345315,0.530109782091023,0.44152316439839,0.400178956101224,0.355958386345315
"Btg2",1016,1,1,0.498396537999639,0.498396537999639,0.526315255971675,0.512301777331159,0.488188671226495
"Bace1",1016,1,1,0.331219305045216,0.331219305045216,0.489403980588429,0.501548822036747,0.556263761864527
"Chit1",1017,1,1,0.5,0.5,0.5,0.499904598359092,0.5
"Rpl23",1017,1,1,0.732307284959433,0.732307284959433,0.530013637156494,0.665965622223366,0.610724727759475
"Runx2",1017,1,1,0.351117371238624,0.545383628248339,0.455195008427377,0.379065599034008,0.351117371238624
"Chil1",1018,1,1,0.500082196284728,0.500082196284728,0.500005883708415,0.499795991362003,0.499037108198732
"Cdkn2d",1018,1,1,0.306816454709283,0.306816454709283,0.385463692425718,0.328245005340641,0.371047110963806
"Mybph",1019,1,1,0.50041098142364,0.50041098142364,0.50041098142364,0.500220209508465,0.499814058210481
"Adora1",1020,1,1,0.500093757340213,0.500093757340213,0.500587643218746,0.50085461552135,0.501509697124485
"Bex3",1020,1,1,0.353789646331157,0.446725951383224,0.417111043467282,0.4031078790087,0.353789646331157
"Snx9",1020,1,1,0.3741280214889,0.3741280214889,0.520694896825096,0.525506600278542,0.535555771320462
"Myog",1021,1,1,0.50448780435536,0.50448780435536,0.503137158200449,0.496197688636082,0.482078264705612
"Ddah2",1021,1,1,0.368186243380426,0.486966742791047,0.514319854848788,0.447581511158855,0.368186243380426
"Ppfia4",1022,1,1,0.497208710042807,0.497208710042807,0.501679077402405,0.500249474585226,0.498277436832683
"Tmem183a",1023,1,1,0.489073815647409,0.489073815647409,0.493228579236717,0.442194274753526,0.447084834763379
"Stx7",1023,1,1,0.349896049192573,0.349896049192573,0.509231061785311,0.578333012295755,0.56547080112588
"4933406M09Rik",1024,1,1,0.5,0.5,0.499923687423687,0.5,0.5
"Uhrf1bp1l",1024,1,1,0.645753328244589,0.645753328244589,0.505131434267962,0.624887319260313,0.631819401631664
"Myh9",1024,1,1,0.658682418835648,0.431640183860259,0.559152245182987,0.623682526550372,0.658682418835648
"Nav3",1025,1,1,0.319059753456262,0.319059753456262,0.465675523993788,0.456827001333678,0.52003964565621
"Adipor1",1026,1,1,0.384530574621115,0.384530574621115,0.478669537213841,0.475758008617232,0.527314078213459
"Zc2hc1a",1026,1,1,0.353398667885138,0.49168534529066,0.507026904178803,0.499124588395164,0.353398667885138
"Psmg4",1026,1,1,0.648471586168353,0.648471586168353,0.483134669730511,0.593272143915924,0.639098472916238
"Platr1",1027,1,1,0.500821962847279,0.500821962847279,0.500440437601378,0.499677205889664,0.500374092496812
"Areg",1027,1,1,0.680454400236409,0.680454400236409,0.501437995900021,0.580976749696363,0.594704404341515
"Klhl12",1028,1,1,0.50940421369455,0.50940421369455,0.478140630717484,0.480011968255829,0.473192426632146
"Rpl29",1028,1,1,0.722701739713269,0.722701739713269,0.528906722170737,0.686877997533516,0.66761432511647
"Rabif",1029,1,1,0.491537025408098,0.491537025408098,0.50915477429944,0.526187272088021,0.5104941511048
"Dnajb4",1029,1,1,0.655754498326058,0.527344997968356,0.507075065280309,0.613786429492196,0.655754498326058
"Klf9",1029,1,1,0.355668540591571,0.355668540591571,0.460161033963023,0.647561888187771,0.649855976106775
"Kdm5b",1030,1,1,0.575842356831132,0.575842356831132,0.637121166958418,0.624859355899186,0.613357389593258
"U2af1",1030,1,1,0.304680225527559,0.486125182544836,0.403554201474635,0.341858755196629,0.304680225527559
"Mrps18a",1030,1,1,0.656477899068602,0.656477899068602,0.481308273803753,0.452536907323775,0.479651105855414
"Syt2",1031,1,1,0.498531322987975,0.498531322987975,0.500017626034805,0.500151187213276,0.499798693960186
"Flrt2",1031,1,1,0.329172779437548,0.369155216757101,0.499681614848884,0.487596500649619,0.329172779437548
"mt-Co1",1031,1,1,0.725292826026699,0.725292826026699,0.543658584232725,0.499302609770464,0.551285229354632
"Ppp1r12b",1032,1,1,0.442399578839208,0.442399578839208,0.499233461936898,0.495326762461018,0.492807935532195
"Cox6b1",1032,1,1,0.711885949341711,0.711885949341711,0.572181736286619,0.55223270422201,0.562268459398152
"Ndufaf2",1032,1,1,0.348959577639214,0.425133424449489,0.433648617305941,0.367491198441906,0.348959577639214
"Gm28892",1033,1,1,0.5,0.5,0.5,0.499809196718184,0.499850701702001
"Bms1",1033,1,1,0.358554257426394,0.485011232552323,0.471190302564624,0.374744436365443,0.358554257426394
"Metrn",1033,1,1,0.318646375228437,0.318646375228437,0.432285403465331,0.374795454208263,0.415612812449578
"Ube2t",1034,1,1,0.336150095209522,0.336150095209522,0.315306817454195,0.3319560084104,0.373027283030647
"Nes",1034,1,1,0.579937085300005,0.579937085300005,0.521106969682919,0.512225148625343,0.536676698916703
"Lgr6",1035,1,1,0.400476653858333,0.400476653858333,0.504917086630468,0.505002289294349,0.497828069326835
"Ndufs6",1035,1,1,0.687558104877948,0.687558104877948,0.53826957149742,0.515950376467139,0.498701475414721
"Gm10535",1036,1,1,0.499142367066895,0.499142367066895,0.5,0.5,0.5
"Hspa13",1036,1,1,0.352986798684521,0.352986798684521,0.441768812361037,0.467458222691425,0.479465875828289
"Ptpn7",1037,1,1,0.498495370925186,0.498495370925186,0.500610826786234,0.498779461235897,0.498530996049621
"Llph",1037,1,1,0.676578203913897,0.676578203913897,0.55654340385353,0.605980150624496,0.548206267956354
"Ska2",1038,1,1,0.300357864314231,0.345577572003522,0.331805074571802,0.32212173500313,0.300357864314231
"Ghr",1038,1,1,0.347062603679405,0.347062603679405,0.500255006697141,0.515101955857537,0.509710697057383
"Gm15445",1039,1,1,0.500257022001817,0.500257022001817,0.500523323873234,0.500923277100159,0.5006294433915
"Cox20",1039,1,1,0.355182638966576,0.390721660821754,0.535592120357039,0.444645028890716,0.355182638966576
"Gpr37l1",1040,1,1,0.483947897424676,0.483947897424676,0.500170263732651,0.499101784846606,0.499052276100781
"Tra2a",1040,1,1,0.348484832122495,0.537873594803052,0.44988944649885,0.43562316718831,0.348484832122495
"Ndufc2",1040,1,1,0.69710979252417,0.69710979252417,0.536188996858075,0.525011979704654,0.525325389541422
"Gm26642",1041,1,1,0.500082196284728,0.500082196284728,0.500082196284728,0.500082196284728,0.500082196284728
"Abcc4",1041,1,1,0.692604204591535,0.614987244772077,0.530603488334049,0.617252757072919,0.692604204591535
"Elf3",1042,1,1,0.500082196284728,0.500082196284728,0.500005883708415,0.499891393002911,0.499932897986729
"Nptn",1042,1,1,0.359182537505051,0.359182537505051,0.502463718218691,0.45183898386133,0.405272156586549
"Tnpo1",1042,1,1,0.357602385670466,0.459372054221914,0.415398871773194,0.363865120554708,0.357602385670466
"Rnpep",1043,1,1,0.424206425183475,0.424206425183475,0.490945336560165,0.478818185237146,0.475495959717586
"Timm17a",1044,1,1,0.366609810711684,0.366609810711684,0.504339579949887,0.42553560814884,0.352373877299134
"Nav1",1044,1,1,0.36091077431156,0.36091077431156,0.499719802500092,0.501227533525216,0.564609077758667
"Riok3",1044,1,1,0.645731214860107,0.517589159000888,0.511856613348476,0.61655728020853,0.645731214860107
"Lmod1",1045,1,1,0.449867879693965,0.449867879693965,0.500035226979169,0.500016169503826,0.500045282814369
"Ndufa1",1045,1,1,0.636805212287767,0.636805212287767,0.560957941495916,0.622849757895007,0.653382390615496
"Ptk2",1045,1,1,0.350063543508622,0.350063543508622,0.470277236326061,0.503000297700797,0.468216495736519
"Shisa4",1046,1,1,0.428384195867966,0.428384195867966,0.523249028447943,0.517794970252347,0.544090366924313
"Fnbp1l",1046,1,1,0.363182602838499,0.465733313519752,0.436924851820874,0.44197047376458,0.363182602838499
"B4galt1",1046,1,1,0.3161842933756,0.3161842933756,0.466936005023708,0.508112652541076,0.491243948117528
"Ipo9",1047,1,1,0.428862287808811,0.428862287808811,0.402799556280569,0.40722578583867,0.396987855910036
"Arl4a",1047,1,1,0.3079288538285,0.3079288538285,0.474796012205596,0.455288106839048,0.426728651190138
"Arpc5",1048,1,1,0.334524075052116,0.334524075052116,0.574755927717049,0.550206701464192,0.611002560528397
"Usp15",1048,1,1,0.355649260574593,0.450987610214221,0.466721368846143,0.397735745641378,0.355649260574593
"Gm4793",1049,1,1,0.498613096307258,0.498613096307258,0.500023547378882,0.500137981857095,0.500179486840912
"Scd1",1049,1,1,0.319463403478863,0.319463403478863,0.488402997444589,0.47145474061779,0.438149885084734
"Gm38399",1050,1,1,0.492924352066285,0.492924352066285,0.50086372588633,0.505677628774728,0.514259177820188
"Impad1",1050,1,1,0.378319891021543,0.378319891021543,0.453780384273151,0.365561114874585,0.359005809306485
"Pafah1b3",1051,1,1,0.35112409616607,0.54078937758943,0.511964640242217,0.485760140607872,0.35112409616607
"Mrpl38",1051,1,1,0.65081890339723,0.65081890339723,0.515354333731368,0.521433453646361,0.508243803850654
"Mrpl3",1052,1,1,0.646491261956881,0.646491261956881,0.485031456889504,0.451586780378271,0.444621719640524
"Tnni1",1053,1,1,0.467654140592022,0.467654140592022,0.502768328717696,0.492801057733347,0.484233186711916
"Lad1",1054,1,1,0.496946330478693,0.496946330478693,0.499173232333268,0.499706894416088,0.496456380476171
"Rnf219",1054,1,1,0.317549306848966,0.423535320011426,0.412478934065733,0.339052664058279,0.317549306848966
"Adamts1",1054,1,1,0.299515507182094,0.299515507182094,0.467082357566083,0.513116729734005,0.50343395902811
"Mapre1",1055,1,1,0.335172058113196,0.335172058113196,0.45062118412028,0.39348177031946,0.413272660416149
"Zyx",1055,1,1,0.414925858387221,0.414925858387221,0.488911944495127,0.515259134099388,0.35140573318227
"Pkp1",1056,1,1,0.499559129018277,0.499559129018277,0.491606281502303,0.52026504624086,0.523726108529432
"Ppp1r2",1056,1,1,0.348526910048503,0.348526910048503,0.48395289410208,0.504459050425735,0.529951967819308
"Hdgfl2",1056,1,1,0.356950313143547,0.454276730499672,0.422440064958148,0.393380926566206,0.356950313143547
"Igfn1",1057,1,1,0.5,0.5,0.5,0.5,0.499850701702001
"Emc7",1057,1,1,0.33563802504463,0.33563802504463,0.48463913020875,0.537475452074077,0.536417764666514
"Nup50",1057,1,1,0.359510964257894,0.482883575377659,0.439693481623861,0.391777338372949,0.359510964257894
"Tmem9",1058,1,1,0.481084562353425,0.481084562353425,0.470113596469835,0.45782756583913,0.429477109402347
"Cacna1s",1059,1,1,0.5,0.5,0.5,0.5,0.499850701702001
"Tnfrsf12a",1059,1,1,0.320247299436131,0.320247299436131,0.49142896735573,0.420620220135483,0.385608296930777
"Gm37759",1060,1,1,0.500246588854184,0.500246588854184,0.500093951156338,0.500246588854184,0.500246588854184
"Ripk2",1060,1,1,0.343546182850188,0.435141914775847,0.49550935050483,0.444270903271142,0.343546182850188
"Xbp1",1060,1,1,0.359911729931488,0.359911729931488,0.550721995003189,0.625784860030909,0.559495654003366
"Kif21b",1061,1,1,0.504016902827073,0.504016902827073,0.496679493401917,0.525217290058283,0.525076959922427
"Mroh3",1062,1,1,0.499142367066895,0.499142367066895,0.5,0.499904598359092,0.5
"Cers5",1062,1,1,0.348878112355977,0.348878112355977,0.441264933579581,0.458411628391993,0.443263259752973
