"","Top","p.value","FDR","summary.AUC","AUC.d5_MuSCs_and_progenitors"
"Aldh1a1",1491,1,1,0.500966211114936,0.500966211114936
"Aldh1a7",1492,1,1,0.499684081123728,0.499684081123728
"Gda",1493,1,1,0.499418775046027,0.499418775046027
"Fxn",1494,1,1,0.486486930934908,0.486486930934908
"Pip5k1b",1495,1,1,0.5006241636098,0.5006241636098
"Ak3",1496,1,1,0.490620918543725,0.490620918543725
"Gldc",1497,1,1,0.498258517750292,0.498258517750292
"Asah2",1498,1,1,0.504057794334436,0.504057794334436
"Sgms1",1499,1,1,0.512106325613146,0.512106325613146
"Minpp1",1500,1,1,0.50065303300393,0.50065303300393
"Papss2",1501,1,1,0.509546450855155,0.509546450855155
"Pten",1502,1,1,0.524505913109702,0.524505913109702
"Ch25h",1503,1,1,0.509154155986818,0.509154155986818
"Lipa",1504,1,1,0.520994992804578,0.520994992804578
"Pank1",1505,1,1,0.510249000351549,0.510249000351549
"Cyp26c1",1506,1,1,0.5,0.5
"Cyp26a1",1507,1,1,0.5,0.5
"Pde6c",1508,1,1,0.5,0.5
"Plce1",1509,1,1,0.502374599026042,0.502374599026042
"Cyp2c55",1510,1,1,0.500183083119736,0.500183083119736
"Cyp2c65",1511,1,1,0.500183083119736,0.500183083119736
"Aldh18a1",1512,1,1,0.50319701132338,0.50319701132338
"Entpd1",1513,1,1,0.50180013462639,0.50180013462639
"Pgam1",1514,1,1,0.520229040271708,0.520229040271708
"Hoga1",1515,1,1,0.500282846975401,0.500282846975401
"Pi4k2a",1516,1,1,0.514803055916728,0.514803055916728
"Got1",1517,1,1,0.503867219789641,0.503867219789641
"Cox15",1518,1,1,0.506397128847395,0.506397128847395
"Cyp2c23",1519,1,1,0.499684081123728,0.499684081123728
"Scd3",1520,1,1,0.499518721619376,0.499518721619376
"Scd2",1521,1,1,0.542572306869235,0.542572306869235
"Scd4",1522,1,1,0.500549249359209,0.500549249359209
"Scd1",1523,1,1,0.532237977359086,0.532237977359086
"Ndufb8",1524,1,1,0.447665087255003,0.447665087255003
"Elovl3",1525,1,1,0.497658290157144,0.497658290157144
"Nt5c2",1526,1,1,0.496430427318194,0.496430427318194
"Gsto1",1527,1,1,0.563734303637324,0.563734303637324
"Gsto2",1528,1,1,0.504461052263836,0.504461052263836
"Gpam",1529,1,1,0.495849933234958,0.495849933234958
"Gucy2g",1530,1,1,0.500183083119736,0.500183083119736
"Acsl5",1531,1,1,0.522037214476211,0.522037214476211
"Pnliprp2",1532,1,1,0.500183083119736,0.500183083119736
"Eno4",1533,1,1,0.501815117476508,0.501815117476508
"mt-Nd1",1534,1,1,0.465990391973285,0.465990391973285
"mt-Nd2",1535,1,1,0.465933749491131,0.465933749491131
"mt-Co1",1536,1,1,0.487414954053811,0.487414954053811
"mt-Co2",1537,1,1,0.46987825886126,0.46987825886126
"mt-Atp8",1538,1,1,0.48402755090332,0.48402755090332
"mt-Atp6",1539,1,1,0.471027370378247,0.471027370378247
"mt-Co3",1540,1,1,0.47436671877775,0.47436671877775
"mt-Nd3",1541,1,1,0.454928663361669,0.454928663361669
"mt-Nd4l",1542,1,1,0.447482735006004,0.447482735006004
"mt-Nd4",1543,1,1,0.475862263024299,0.475862263024299
"mt-Nd5",1544,1,1,0.485887068777129,0.485887068777129
"mt-Nd6",1545,1,1,0.478924428696616,0.478924428696616
"mt-Cytb",1546,1,1,0.483049645856584,0.483049645856584
"Tmlhe",1547,1,1,0.501144726292563,0.501144726292563
