"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Aco1",409,1,1,0.0670477576085702,0.0670477576085702,0.090170599914646,0.0945519603348677,0.0762490987569977
"Ndufb6",410,1,1,0.0580621454657395,0.0580621454657395,-0.0448970812621474,0.0257787283160553,0.0641888247731655
"B4galt1",411,1,1,0.0131270484940489,0.0131270484940489,0.0871333958009483,-0.0260588573311146,0.0503290731211373
"Nudt2",412,1,1,-0.138194266736673,-0.138194266736673,-0.00609546812304318,-0.206309456711227,-0.207816714228091
"Galt",413,1,1,-0.0161712150151987,-0.0161712150151987,0.0208451248847615,-0.020563855541813,-0.0224312556397636
"Pigo",414,1,1,-0.0169132491591736,-0.0169132491591736,-0.00538088574479489,-0.018392215107507,-0.0192799566839707
"Car9",415,1,1,-0.00217723126126867,-0.00217723126126867,-0.00224711582580484,-0.00101568729840421,-0.00234422080222337
"Gba2",416,1,1,0.0212697211432393,0.0212697211432393,0.0119279463889713,0.0215481970203118,0.0213264888176492
"Npr2",417,1,1,-0.110712083790923,-0.110712083790923,-0.0301128374183208,-0.0883557952958557,-0.0951156647535777
"Gne",418,1,1,-0.0675854349956512,-0.0675854349956512,-0.00055482119406236,-0.0649174394413232,-0.0611554309713729
"Grhpr",419,1,1,-0.155533328228068,-0.155533328228068,-0.0269297291501585,-0.142269590940988,-0.127295579707478
"Aldh1b1",420,1,1,-0.00441435628532944,-0.00441435628532944,-0.00295372304569931,-0.00662764933952756,-0.00755726953446158
"Nans",421,1,1,0.155268064967271,0.155268064967271,0.0567449364774857,0.161943365130485,0.0598956196713818
"Galnt12",422,1,1,0.00395260529461309,0.00395260529461309,-0.0120607244584482,0.00608429556037713,0.00431812265731698
"Alg2",423,1,1,-0.0461993159457633,-0.0461993159457633,0.0158128036759639,-0.0555471953605079,-0.0399176476807649
"Baat",424,1,1,-0.00018476215682414,-0.00018476215682414,0.00132433790207102,-7.05457145575906e-05,0.000783443764887168
"Aldob",425,1,1,0,0,-0.00018823704884586,0,-0.000249640981280858
"Fktn",426,1,1,-0.022198092974079,-0.022198092974079,0.0023973520256011,-0.0203079859829596,-0.0276402459149562
"Ugcg",427,1,1,0.0930023983621022,0.0930023983621022,-0.264121329565141,0.200775296330667,0.195416213422007
"Alad",428,1,1,0.340121552694216,0.340121552694216,0.0881449400723791,0.372302612064949,0.270382504616866
"Aldoart1",430,1,1,-0.000646149871695342,-0.000646149871695342,-5.07603820881532e-05,-0.000820215355803624,6.42875967834737e-05
"Acer2",431,1,1,0.00470883963808243,0.00470883963808243,-0.00328421529697799,0.00290900885287781,0.00157482358286318
"Hacd4",432,1,1,0.0074084415672602,0.0074084415672602,8.99781527268079e-05,0.0157242155028647,0.025587668101767
"Mtap",433,1,1,0.282705867641866,0.282705867641866,-0.0957568135426712,0.319430401400471,0.14051138402019
"Cyp2j8",434,1,1,-0.000207956415060434,-0.000207956415060434,0,-0.000347979644087372,-0.000192511521514489
"Cyp2j6",435,1,1,0.00223315219012382,0.00223315219012382,0.000366204787395741,-0.0376982866875726,-0.0425857195653043
"Cyp2j9",436,1,1,0.0117274285036615,0.0117274285036615,0.012515638535569,0.0125797464515579,0.0103182473531318
"Alg6",437,1,1,0.0255768013088036,0.0255768013088036,-0.0120160316918004,0.0387627406743798,0.0194239506315093
"Ak4",439,1,1,-0.0727239015385214,-0.0727239015385214,-0.0300521093369398,-0.0504869616260551,-0.0479490952904406
"Pde4b",440,1,1,-0.123937593079129,-0.123937593079129,0.0143417684880864,-0.0440779893227385,-0.178934974545363
"Plpp3",441,1,1,-0.00216284955434398,-0.00216284955434398,0.044930599074766,-0.00548951202235876,-0.187921042877471
"Dhcr24",442,1,1,0.426561327908005,0.426561327908005,0.222239796772234,0.434034791960548,0.404274658599755
