"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"mmu00565",52,1,1,0.49999954913352,0.49999954913352,0.5,0.499999476312204,0.499999468734992
"mmu00590",53,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00591",54,1,1,0.5,0.5,0.5,0.5,0.5
"mmu00592",55,1,1,0.5,0.5,0.5,0.5,0.499973499251354
"mmu00310",56,1,1,0.500003156065363,0.500003156065363,0.499999784958607,0.500000244387638,0.500000406261477
"mmu00514",57,1,1,0.499999973478442,0.499999973478442,0.499999838718955,0.5,0.500000125003531
"mmu00100",58,1,1,0.54400249981594,0.54400249981594,0.528189265456234,0.542376222898284,0.541549017509745
"mmu00010",59,1,1,0.499527120626622,0.499527120626622,0.49981428487716,0.499469574088207,0.499546393435615
"mmu00330",60,1,1,0.499972629752477,0.499972629752477,0.49999435516344,0.499977551249833,0.499975968071098
"mmu00340",61,1,1,0.499774885018439,0.499774885018439,0.499969437242051,0.49975840536368,0.499789869063801
"mmu00620",62,1,1,0.500482135397008,0.500482135397008,0.500152114905218,0.499976957736998,0.500036251024091
"mmu00920",63,1,1,0.497243137122606,0.497243137122606,0.497399235635369,0.497135392846145,0.496537183425432
"mmu00062",64,1,1,0.500454685584812,0.500454685584812,0.49999612925493,0.499994134696691,0.499980249442047
"mmu01040",65,1,1,0.50018631394268,0.50018631394268,0.500049378879817,0.500085814973421,0.500066439376912
"mmu00430",66,1,1,0.500043627962378,0.500043627962378,0.500034944226327,0.500041964848679,0.500038188578827
"mmu00650",67,1,1,0.500125844791177,0.500125844791177,0.500058786940751,0.50004060326041,0.500030125851055
"mmu00900",68,1,1,0.538918847640441,0.538918847640441,0.52217412761739,0.537843949415948,0.5321440955707
"mmu00270",69,1,1,0.498508507160927,0.498508507160927,0.499265794924701,0.498998045597147,0.498302608298684
"mmu00604",70,1,1,0.498495060731184,0.498495060731184,0.498784129085047,0.49750190447795,0.497849501748424
"mmu00512",71,1,1,0.5,0.5,0.49999790334642,0.5,0.5
"mmu00740",72,1,1,0.407854879128531,0.407854879128531,0.427254373001123,0.415543437807885,0.404245419933113
"mmu00500",73,1,1,0.499420477443203,0.499420477443203,0.499942449547257,0.499486820872939,0.499606238876248
"mmu00770",74,1,1,0.499579368095245,0.499579368095245,0.499926617124714,0.499528157296263,0.499408514540536
"mmu00360",75,1,1,0.499160884436662,0.499160884436662,0.499664857989352,0.499075202265683,0.499318043234721
"mmu00531",76,1,1,0.494324731437403,0.494324731437403,0.500019783808136,0.491695044726429,0.493646508013851
"mmu00440",77,1,1,0.511336268527165,0.511336268527165,0.513603276585702,0.510963229436002,0.510731303159314
"mmu00603",78,1,1,0.499837263722095,0.499837263722095,0.5000081984531,0.499852878641987,0.499694710125561
"mmu00072",79,1,1,0.506240761215383,0.506240761215383,0.505038231671619,0.505547145517477,0.505149395470422
"mmu00232",80,1,1,0.5,0.5,0.5,0.5,0.499887090560308
"mmu00130",81,1,1,0.480523841076886,0.480523841076886,0.465145069611587,0.484890070949223,0.476913847816201
"mmu00472",82,1,1,0.499635355103501,0.499635355103501,0.500032283089091,0.500002129663702,0.50013316001177
"mmu00290",83,1,1,0.467693719292014,0.467693719292014,0.503048480544399,0.468179717082905,0.473140772476822
"mmu00524",84,1,1,0.472197663259813,0.472197663259813,0.497387005156155,0.473159883280464,0.48089861663592
"mmu00400",85,1,1,0.495247734687673,0.495247734687673,0.499687948058902,0.488413861387521,0.496965258018539
"mmu00780",86,1,1,0.497126097488578,0.497126097488578,0.49414869682228,0.49729511762377,0.498320327549253
