"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Gm15319",11402,1,1,0.000226841058949717,0.000226841058949717,0.000226841058949717,0.000226841058949717,0.000226841058949717
"Gm21119",11403,1,1,0,0,0,-0.000765916006709915,-0.000571311779736581
"Defb33",11404,1,1,0.000259150286377601,0.000259150286377601,5.18328804044375e-05,0.000259150286377601,0.000259150286377601
"Gm15056",11405,1,1,0.000444624970883286,0.000444624970883286,0.00119172962150212,0.000967354328993554,0.00119172962150212
"Atp7b",11406,1,1,0.00111349614387339,0.00111349614387339,0.0019592055207607,0.00186032196072378,0.0015175704956431
"Alg11",11407,1,1,-0.0248675072245327,-0.0248675072245327,-0.00308040937579004,-0.0528722189846998,-0.0151946049025234
"Nek5",11408,1,1,-0.000230420868471595,-0.000230420868471595,-0.000916527192958122,-0.000590032841676818,-6.67480376326703e-05
"Nek3",11409,1,1,0.00758858804653043,0.00758858804653043,0.00315532512126748,0.00354872747930945,0.000743698632748202
"Vps36",11411,1,1,0.26648534452092,0.26648534452092,0.188844263705351,0.294963941750784,0.290912457970638
"Thsd1",11412,1,1,0.00714641484985102,0.00714641484985102,0.00991581523147276,0.00819435193294482,0.00975654617965609
"Tpte",11413,1,1,0.000153919917454173,0.000153919917454173,0.000153919917454173,0.000153919917454173,-9.59479030375268e-05
"Slc25a15",11414,1,1,0.0165922488324901,0.0165922488324901,-0.00974661978968955,0.0285070155711924,0.0226656450820921
"1810012K16Rik",11415,1,1,-0.000185440337732987,-0.000185440337732987,0.00072354286357288,-0.000203067802465829,0.000338318776401015
"Mrps31",11416,1,1,0.214189580264426,0.214189580264426,0.0590670310617794,0.205254198055343,0.159227694335625
"Smim19",11417,1,1,-0.341612725436924,-0.341612725436924,-0.116823039062253,-0.293430688687286,-0.313575312689828
"Vdac3",11419,1,1,-0.431001319605125,-0.431001319605125,-0.142298619751518,-0.406772816511244,-0.426920210157066
"Polb",11420,1,1,-0.0514813556645112,-0.0514813556645112,0.0649920182800801,-0.0383599321908357,-0.0482356312443069
"Gm26909",11421,1,1,0.0249338858374547,0.0249338858374547,-0.0249320886595655,0.0261347503177759,0.0257077182625583
"Ikbkb",11422,1,1,-0.110760009663805,-0.110760009663805,0.0129069064748638,-0.142263899522584,-0.104401809377188
"Plat",11423,1,1,0.0328537246623922,0.0328537246623922,0.0454826469486449,0.0282077467543022,0.0361474992026419
"Ap3m2",11424,1,1,0.0166955184120354,0.0166955184120354,0.0257184609296226,0.00571488264286094,0.00957840296638669
"1700041G16Rik",11425,1,1,0.00780385575663001,0.00780385575663001,0.00339153756817295,0.0055334651794606,0.00550260988680918
"Kat6a",11426,1,1,0.167452749516484,0.167452749516484,0.0787264680876587,0.164863219973821,0.219956695316183
"Gm15816",11428,1,1,0.0189337177502563,0.0189337177502563,0.00758276384911451,0.0259489675622962,0.0189240305508184
"Nkx6-3",11429,1,1,0.000393039789885412,0.000393039789885412,-0.000608575518277827,0.000122458945362946,-0.00119519174777293
"Gpat4",11430,1,1,0.0210255413328517,0.0210255413328517,-0.0189939045330866,0.0164663795094874,-0.0011706780906926
"Gins4",11431,1,1,0.113277738770486,0.113277738770486,-0.107381804814714,0.0920647545278012,0.0353764067291915
"Golga7",11432,1,1,-0.07706593839436,-0.07706593839436,0.0198165640470802,-0.0960785816194989,-0.0856333639549538
"Sfrp1",11433,1,1,0.0753289254707189,0.0753289254707189,0.0645435802983768,0.0598729192813487,0.063316358944015
"Zmat4",11434,1,1,-0.000468426477976656,-0.000468426477976656,0.000418674368046952,-0.000982469941197945,-0.000196806632625394
"Gm45163",11435,1,1,-0.000826675468067136,-0.000826675468067136,-0.000732689207720006,-0.000635240954464452,-0.000444896774241029
"Gm30692",11436,1,1,-0.00104599612278758,-0.00104599612278758,-0.0018718734032587,-0.00116885274497962,-0.00122081469334527
"Gm26714",11437,1,1,0.000266369363634134,0.000266369363634134,-0.000662351740497826,-0.000620794070414753,0.000530978952885752
"Tcim",11438,1,1,-0.156870535730704,-0.156870535730704,-0.0774949077082224,-0.198718067927025,-0.100137380623485
"Ido2",11439,1,1,-0.000701334826727464,-0.000701334826727464,-0.000347540371644128,-0.000529292055639271,-0.000667902039791342
"Ido1",11440,1,1,0.000686643608240739,0.000686643608240739,-0.00136382673606383,-0.000549856060047853,-0.000112081266790532
"Adam18",11441,1,1,0,0,-0.000190285232933527,0,0
"Adam3",11442,1,1,-0.000147112242575473,-0.000147112242575473,-0.000188379894992947,0,-0.00088229391191088
"Adam5",11443,1,1,0.00141097878068494,0.00141097878068494,-0.000527111249177206,0.000702493057185694,0.000714304210176025
"Adam32",11444,1,1,-0.0032952471568487,-0.0032952471568487,-0.00192744107911596,-0.00263663955813859,-0.00169404695915446
"Adam9",11445,1,1,-0.288385077815639,-0.288385077815639,-0.107422877893469,-0.177085843762847,-0.141809448997755
"Tm2d2",11446,1,1,-0.188963791603552,-0.188963791603552,-0.0682174732399794,-0.150022834229276,-0.203597565440381
"Htra4",11447,1,1,0.00174849357883572,0.00174849357883572,0.00191547197842394,0.00195149943777294,0.00189859628855963
"Gm16933",11448,1,1,0.00081690739027293,0.00081690739027293,0.000350622517161538,0.000686282989022626,0.000699895065613544
"Plekha2",11449,1,1,0.162125136575356,0.162125136575356,0.00365770270538612,0.196630869010918,0.152476575107733
"Tacc1",11450,1,1,0.0848422776380449,0.0848422776380449,0.0656711737639821,0.118701539240978,0.136407199315669
"5430421F17Rik",11451,1,1,-0.00145642817204305,-0.00145642817204305,-0.00014215056937613,0.000276155743740512,-0.000539363895313619
"Gm45237",11452,1,1,-0.000208441235188757,-0.000208441235188757,0,0,0
"Gm31045",11453,1,1,-0.000234229560589253,-0.000234229560589253,-0.000472010740572694,-0.000590077700880303,-0.00104072988786513
"Gm16159",11455,1,1,0.000675439045952069,0.000675439045952069,-0.000274806414364836,0.00114539786940212,0.00104476313010005
"Letm2",11456,1,1,-0.0226912894613506,-0.0226912894613506,0.00765450646252457,-0.0138753186815862,-0.000693714689822073
"D830025C05Rik",11457,1,1,-0.00321666090893227,-0.00321666090893227,0.00494538428635005,-0.00568421053365365,0.00165962841116984
"Nsd3",11458,1,1,-0.0306745456656762,-0.0306745456656762,0.0117727066259438,-0.0836311604282493,0.0246778556598443
"Plpp5",11459,1,1,-0.0629685945086204,-0.0629685945086204,0.0163514586125541,-0.0743551078888133,-0.0663763880184153
"Ddhd2",11460,1,1,-0.130482736452676,-0.130482736452676,-0.034519779480452,-0.144430478886278,-0.150572753459278
"Gm17484",11461,1,1,-0.00681566542713419,-0.00681566542713419,0.0063897481927226,-0.00987519482784328,0.00194458546978741
"Bag4",11462,1,1,0.0752961121609033,0.0752961121609033,-0.0433576580704834,0.118603175990008,-0.0301077661450018
"Lsm1",11463,1,1,-0.169778106589589,-0.169778106589589,-0.14427825939649,-0.147232888762548,-0.308591306862637
"Star",11464,1,1,-0.0131302777405608,-0.0131302777405608,-0.00694835146072934,-0.0295517131350039,-0.0203875353918147
"Ash2l",11465,1,1,0.011359662955498,0.011359662955498,0.0590924328762452,-0.0156270297479419,-0.0198641126752819
"Kcnu1",11466,1,1,-0.00139112033172331,-0.00139112033172331,-0.00113521545389171,-0.000614354248812086,-0.000708843757284317
"Pomk",11468,1,1,-0.0557811903879086,-0.0557811903879086,-0.0457991195742383,-0.0821079605949669,-0.080233024313547
"Fnta",11469,1,1,0.0306722191998627,0.0306722191998627,0.015185868374445,-0.0129263484554034,-0.0777020380949207
"Hook3",11470,1,1,0.0859406334611139,0.0859406334611139,0.108414041422401,0.0114241200741445,-0.0338016880941345
"Gm45411",11471,1,1,-2.93911861410344e-05,-2.93911861410344e-05,0.000210828819421916,0.000210828819421916,-5.42596343105268e-05
"Rnf170",11472,1,1,-0.112236862103056,-0.112236862103056,-0.0135969670158619,-0.0837051641713234,-0.10840163216987
"Gm45250",11473,1,1,-0.0123520539826987,-0.0123520539826987,0.016306234681387,-0.00218684484263156,-0.00208286619912534
"Thap1",11474,1,1,0.0358260017006271,0.0358260017006271,-0.00742078923385237,0.0972442527094333,0.071090126766146
"Gm31898",11475,1,1,0,0,-0.000681880845127122,0,-0.000248433379308549
"Gm31983",11476,1,1,0,0,-0.000148814657941714,0,0
"Gm39149",11477,1,1,-0.000216042654032587,-0.000216042654032587,-0.000174063843913825,0,0
"Gm32050",11478,1,1,-0.00243344776848819,-0.00243344776848819,-3.94566270619737e-05,-0.00336306061703525,-0.00180763793059793
"Gm45646",11479,1,1,-0.000213283543787938,-0.000213283543787938,0,0,0
"2310008N11Rik",11480,1,1,0.0170654121722712,0.0170654121722712,-0.00284590592859187,0.0200372148647898,0.0212975659361277
"Gm45572",11481,1,1,-0.000377303721966086,-0.000377303721966086,1.08229985676131e-05,0.000175719958827654,-9.05359951436298e-05
"Zfp703",11482,1,1,-0.342652928652809,-0.342652928652809,-0.122719918319175,-0.275612145818922,-0.123738875533341
"Gm45371",11483,1,1,-0.000123942397419083,-0.000123942397419083,-0.000525429691706615,-1.44962809335706e-05,0.00100242833219315
"Gm45370",11484,1,1,0.000305716347023451,0.000305716347023451,0.000305716347023451,0.000305716347023451,0.000305716347023451
"Gm32389",11485,1,1,0.000115512514717649,0.000115512514717649,-0.00106472795749974,-0.000190234133415292,-0.000314704234839804
"Erlin2",11486,1,1,-0.0824604589367202,-0.0824604589367202,-0.0560043430390145,-0.0922507196673261,-0.124806768771577
"Proscos",11487,1,1,0.00024344541488963,0.00024344541488963,0.00047260347676603,-0.00373559978665583,-0.00247465414279625
"Plpbp",11488,1,1,0.0216264557916361,0.0216264557916361,0.0455997137910411,-0.0133726646558193,-0.00445952111691916
"Adgra2",11489,1,1,-0.0833814211499292,-0.0833814211499292,-0.0210664258084338,-0.0460659979912274,-0.0481007617397159
"Brf2",11490,1,1,-0.0170821042931006,-0.0170821042931006,-0.0124305204409998,-0.00198984044689848,-0.011733299057829
"Rab11fip1",11491,1,1,-0.0387745405860917,-0.0387745405860917,-0.0158407813182722,-0.0375466702536509,-0.0300842080503056
"Gm45267",11492,1,1,-0.000157719422845158,-0.000157719422845158,0,0,0
