"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"mmu00860",46,1,1,-0.150547662659677,-0.150547662659677,-0.0823965481352621,-0.152615008932619,-0.169417131568816
"mmu00260",47,1,1,-0.183029084194072,-0.183029084194072,-0.0365797337593461,-0.184381805550844,-0.174284376155286
"mmu00630",48,1,1,-0.00915262011685325,-0.00915262011685325,-0.0114639656780882,-0.00473302982098489,-0.0238899983291112
"mmu00240",49,1,1,0.130513713885523,0.130513713885523,-0.0159981652677064,0.14242510886212,0.10155659768204
"mmu00052",50,1,1,-0.138003327618892,-0.138003327618892,-0.07957007239036,-0.153317224950599,-0.157219545498288
"mmu00601",51,1,1,0.0245967998363902,0.0245967998363902,0.00115244336060086,0.0272299045187365,0.0197187508204955
"mmu00565",52,1,1,-0.0494459070403627,-0.0494459070403627,-0.021080564304504,-0.0558458893937351,-0.0634474294097102
"mmu00590",53,1,1,-0.0869899115163343,-0.0869899115163343,-0.0530131167341666,-0.0903612383769807,-0.099177525619823
"mmu00591",54,1,1,-0.0654725400460279,-0.0654725400460279,-0.0209866791542438,-0.0686390945194672,-0.0685129673253605
"mmu00592",55,1,1,-0.102126971851762,-0.102126971851762,-0.0233363289075205,-0.103828470995262,-0.0981838572729554
"mmu00310",56,1,1,0.0285263852104252,0.0285263852104252,0.0105152106721784,0.0301575790068682,0.027503792520119
"mmu00514",57,1,1,-0.00301730897809199,-0.00301730897809199,-0.00995848589198195,0.00471530330635955,0.00609082477154599
"mmu00100",58,1,1,0.240830435803655,0.240830435803655,0.155725642439278,0.234246192914622,0.229757478833513
"mmu00010",59,1,1,-0.0665955028375198,-0.0665955028375198,-0.0563628164954366,-0.08402799564429,-0.0794213323098114
"mmu00330",60,1,1,-0.0672127685609473,-0.0672127685609473,-0.0371380838320267,-0.0648763522092481,-0.0746983484122329
"mmu00340",61,1,1,-0.130780333557738,-0.130780333557738,-0.0898485545518783,-0.14280937932848,-0.151054129282156
"mmu00620",62,1,1,-0.0239000414325276,-0.0239000414325276,-0.0185983262970464,-0.0396358749044514,-0.0406319054567503
"mmu00920",63,1,1,-0.0334781781510006,-0.0334781781510006,-0.0385152071374559,-0.0297758224546563,-0.0460021678705121
"mmu00062",64,1,1,0.0345210717880063,0.0345210717880063,0.0186995370362625,0.0129719200214818,0.0101122819132186
"mmu01040",65,1,1,0.0553288365907278,0.0553288365907278,0.0356787378410364,0.0455919128763493,0.0346354137926606
"mmu00430",66,1,1,0.0202875652260172,0.0202875652260172,0.0080626012947794,0.0188563536250373,0.0122784052641626
"mmu00650",67,1,1,0.0289580135572045,0.0289580135572045,0.0274421244826987,0.0263441403301009,0.0168663642457793
"mmu00900",68,1,1,0.247438396073514,0.247438396073514,0.163472160204024,0.245624513615205,0.219602101388425
"mmu00270",69,1,1,-0.0676716631604932,-0.0676716631604932,-0.030414607975767,-0.0473735873517596,-0.0863505236936459
"mmu00604",70,1,1,-0.0758539357792011,-0.0758539357792011,-0.0795982647537557,-0.0993932441242683,-0.0964737132440278
"mmu00512",71,1,1,0.0182752503205569,0.0182752503205569,-0.0301986623205363,0.027366784289161,0.0170531915336389
"mmu00740",72,1,1,-0.3516192406074,-0.3516192406074,-0.33454667640295,-0.338811542420124,-0.365222184088937
"mmu00500",73,1,1,-0.139199820276418,-0.139199820276418,-0.0772250165191584,-0.134555058419713,-0.138642636485116
"mmu00770",74,1,1,-0.0762339217084105,-0.0762339217084105,-0.0216087805310444,-0.0836023255845921,-0.0951838075591135
"mmu00360",75,1,1,-0.12232967400434,-0.12232967400434,-0.0815322562645991,-0.135010858739014,-0.120834503319937
"mmu00531",76,1,1,-0.175670447926985,-0.175670447926985,-0.0686562792474977,-0.195405108766768,-0.196003787415861
"mmu00440",77,1,1,0.0447124368143041,0.0447124368143041,0.0534210547430026,0.0454008472050919,0.0430493359732014
"mmu00603",78,1,1,-0.109848757890269,-0.109848757890269,-0.0665087708659434,-0.121127508861886,-0.115241981345012
"mmu00072",79,1,1,0.0717803222129142,0.0717803222129142,0.0566464450523407,0.0637855208041746,0.0590664212727636
"mmu00232",80,1,1,-0.0412913424838485,-0.0412913424838485,-0.0142168389075049,-0.0486076081845375,-0.0436940079106476
"mmu00130",81,1,1,-0.0796308026756157,-0.0796308026756157,-0.14576089258287,-0.065541477758461,-0.0924262556975567
"mmu00472",82,1,1,-0.000892732489883632,-0.000892732489883632,0.000100611489071564,-7.8845423191992e-05,0.00012904634763919
"mmu00290",83,1,1,-0.113593626723762,-0.113593626723762,0.0268829466101694,-0.112939543010348,-0.096629807936979
"mmu00524",84,1,1,-0.126779743161975,-0.126779743161975,-0.0221246613763462,-0.120177882300538,-0.100678353958711
"mmu00400",85,1,1,-0.020080201841238,-0.020080201841238,0.0115293362490494,-0.0502654275238165,-0.00885394600782141
"mmu00780",86,1,1,0.00455593440626535,0.00455593440626535,-0.0239764141171875,0.00511552206648816,0.00378201542208378
