"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Kdm1b",16487,1,1,0.534945626563313,0.534945626563313,0.517625572077305,0.525634901626993,0.530387452195525
"Rnf144b",16489,1,1,0.500495024874039,0.500495024874039,0.501924727986078,0.500380511552204,0.500608579692376
"A930002C04Rik",16490,1,1,0.5,0.5,0.500100908173562,0.5,0.500117315814172
"A330033J07Rik",16491,1,1,0.5,0.5,0.500100908173562,0.500131061598951,0.5
"Gm36346",16492,1,1,0.500199123855038,0.500199123855038,0.5,0.5,0.500117315814172
"Gm49291",16493,1,1,0.5,0.5,0.500100908173562,0.500131061598951,0.5
"Id4",16494,1,1,0.479090589578471,0.479090589578471,0.487006204481785,0.483998509933659,0.482085025151961
"A330048O09Rik",16495,1,1,0.499966344143308,0.499966344143308,0.499866808737347,0.499866808737347,0.499866808737347
"Zfp169",16496,1,1,0.503582425924759,0.503582425924759,0.501616896232314,0.505366822353229,0.507842534051587
"A830005F24Rik",16497,1,1,0.5005867894636,0.5005867894636,0.500439894049106,0.499419544447478,0.500978902654
"6720427I07Rik",16498,1,1,0.525633854619854,0.525633854619854,0.49505189755213,0.515821306552172,0.491698765490125
"Ptpdc1",16499,1,1,0.51029001959837,0.51029001959837,0.50717093156469,0.506606216802558,0.502305408877801
"Barx1",16500,1,1,0.500596178095018,0.500596178095018,0.500306864067497,0.500386900543309,0.499952373654556
"Phf2",16501,1,1,0.479853031318565,0.479853031318565,0.486793152221888,0.473098053208077,0.476582744712538
"Phf2os1",16502,1,1,0.499864554404944,0.499864554404944,0.499874926549924,0.499723353193902,0.500006468932747
"Fam120a",16503,1,1,0.554372879734071,0.554372879734071,0.523161006329206,0.5192163047053,0.517502088183991
"Fam120aos",16504,1,1,0.49835754645463,0.49835754645463,0.497996755025383,0.495394829176532,0.497168170000802
"Wnk2",16505,1,1,0.503017808483376,0.503017808483376,0.501049509517463,0.501431029269958,0.502971021431355
"Susd3",16507,1,1,0.500430550967326,0.500430550967326,0.5002382658632,0.500126802271548,0.500789459802239
