"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.3","logFC.4","logFC.5"
"Trak2",511,1,1,0.0833732310651472,0.0833732310651472,0.12131854416593,0.107277378187712,-0.0165083257835613
"Abhd8",511,1,1,0.545588869918622,0.346011649329768,0.530760809965671,0.545588869918622,0.129549469517881
"Nme4",511,1.36321951784908e-06,2.99977988176177e-05,0.719573502752887,0.0762304452969504,0.188258439877029,0.163895930737893,0.719573502752887
"Stradb",512,1,1,-0.0259849022257905,-0.0259849022257905,-0.0544001590388974,-0.0485907134238356,-0.000488139067408938
"Glmp",512,4.16604547348807e-12,1.0572814225818e-10,-0.68910376296643,-0.307904426517194,-0.68910376296643,-0.541450450900629,-0.539367080211237
"Pcdh7",512,1.97893053981243e-06,4.3413419110401e-05,-0.795703757705846,-0.213415357671326,-0.0738434752134207,-0.0297487480893655,-0.795703757705846
"Ddah2",512,1,1,0.534610820347427,0.30583860572287,0.413074898703759,0.534610820347427,0.393193983347618
"C2cd6b",513,1,1,0,0,0,-9.75670013022318e-05,0
"Rsrp1",513,1.07173122386245e-07,2.42531310922647e-06,-0.67820435255547,0.155490342116522,-0.67820435255547,-0.535844591157411,-0.0374591359360037
"Sema3e",513,2.10846716365104e-06,4.61901037990359e-05,0.699833655243491,0.0705409462364474,0.191302200251111,0.21937977755705,0.699833655243491
"C2cd6",514,1,1,0.000334087721261025,0.000334087721261025,0.000213346886838306,7.22542524628351e-05,0.000544782932912218
"Tmem237",515,1,1,-0.167248903767336,-0.167248903767336,-0.265333556592434,-0.349357722356241,-0.290989561071957
"Diaph3",515,5.26574055562438e-12,1.33009392602808e-10,0.696846976208898,0.0142945448311615,0.696846976208898,0.0313787350693082,-0.170664974283387
"Mrps36",515,1,1,0.538376284443295,0.203542790890922,0.521271600685047,0.538376284443295,0.455242646354417
"G730003C15Rik",516,1,1,0.00462843577316055,0.00462843577316055,0.00475989993858976,0.00530855875473197,-0.00129075060958363
"Snrnp40",516,5.91493069157014e-12,1.49232383837375e-10,0.698766404948746,0.0875482772696543,0.698766404948746,0.470070260814329,0.623854178021255
"Mpp4",517,1,1,-0.00375844864240416,-0.00375844864240416,-0.00898396777219086,-0.00379101401853343,6.78200002904371e-06
"Gss",517,8.31705847182357e-12,2.09346684645748e-10,-0.683132301559695,-0.300239352920651,-0.683132301559695,-0.501667644980972,-0.462529245439612
"Ebf2",517,2.51304439589904e-06,5.47955708653934e-05,-0.756463931940604,-4.02514309530819e-05,-0.00162447375570366,-0.000139667178678248,-0.756463931940604
"Gm29017",518,1,1,0,0,-0.000313789694092001,0,0
"Jade1",518,2.92741845321341e-06,6.37016911340807e-05,-0.782075315734476,-0.16903878820208,-0.14115702126951,-0.38486900211549,-0.782075315734476
"G3bp1",518,1.04504460539607e-11,2.62431796414572e-10,0.662805104784387,0.0295492596435749,0.662805104784387,0.355500040095361,0.737723808255019
"Als2",519,1,1,-0.00558580889729736,-0.00558580889729736,-0.0210230009110415,-0.0298357955994508,-0.0318080970113257
"Tfdp1",519,1.76651200939657e-11,4.42059359932832e-10,0.696748661899157,-0.127097428830784,0.696748661899157,0.0755495257587824,0.296819583784586
"Rassf1",519,2.98457517786577e-06,6.48798408109588e-05,-0.81358407226806,0.00606815473344557,0.0887360064568113,-0.178358913702221,-0.81358407226806
"Srebf2",519,0.380588132606696,1,0.60512782626191,0.299035386686642,0.60512782626191,0.538461300804377,0.311974996964515
"Cdk15",520,1,1,-0.000632623868361539,-0.000632623868361539,-0.00564762253768771,-0.00563526307090307,-0.0142607328837014
"Ppih",520,1.89739762925588e-11,4.74261258759766e-10,0.698513133503026,0.000922228354238941,0.698513133503026,0.252813878609656,0.615051015609831
"Ccl7",520,3.00342963810332e-06,6.52238236545122e-05,-0.885823199751621,0.0254078909488693,-0.041141131813066,-0.0140413133530763,-0.885823199751621
"Fzd7",521,1,1,-0.0132939939874327,-0.0132939939874327,0.0131217855346924,-0.011822281888432,-0.0302811297305157
"Fam50a",521,1,1,-0.569874770842402,-0.0460455010697481,-0.569874770842402,-0.537118085389,-0.214621103117099
"Ccne2",521,1.94532042678567e-11,4.85675648548195e-10,0.698594096540678,-0.15467390807979,0.698594096540678,0.151621176147958,0.198123346058925
"Sipa1l1",521,3.05188460286217e-06,6.62092828006017e-05,-0.834265097176554,0.155452883035065,0.264801651345672,0.259143444533988,-0.834265097176554
"Gm26813",522,1,1,0.000121032906130608,0.000121032906130608,0.000248953900480779,0.000248953900480779,0.000248953900480779
"Smchd1",522,2.68623602344398e-11,6.68329311682519e-10,0.697642724800899,-0.00332179944757893,0.697642724800899,0.128454709508951,0.364542740292163
"Gm973",523,1,1,0.000120368046334523,0.000120368046334523,0.000512501183291254,0.000537209609545266,-0.00192638294982953
"Nop56",523,4.13294405516964e-06,8.93022982041224e-05,0.78055280913439,0.134306362883728,0.530806405787239,0.204498954175021,0.78055280913439
"Ftsj3",523,0.277642760110223,1,0.642887382560326,0.123934496047235,0.591070488212786,0.535531817907624,0.642887382560326
"Sumo1",524,1,1,0.418321603695159,0.0250274483894759,0.244967930161637,0.179567815792651,0.418321603695159
"Fxr1",524,5.80486001335225e-06,0.000125176745839032,0.757654002710955,0.135438649510462,0.351898549295723,0.383224866850707,0.757654002710955
"Slc6a9",524,1,1,-0.556203890853846,-0.0510472017301586,-0.459526122649876,-0.556203890853846,-0.130665119591094
"Sumo2",524,4.15888234219701e-11,1.02877364237266e-09,0.643958684518979,0.027370057486042,0.643958684518979,0.419283269607862,0.246533045067883
"C330027C09Rik",525,5.89056469988487e-11,1.4521287847219e-09,0.684541357875125,0.0742723582864915,0.684541357875125,0.308654581793153,0.291525732071971
"Bmpr2",526,1,1,-0.332755820982562,0.143820054123243,0.110699836228999,0.106648960085734,-0.332755820982562
"Exo1",526,1.09486941907332e-10,2.67453856616083e-09,0.673041446544538,-0.0815026461200428,0.673041446544538,0.0798480769402721,0.361966700583105
"Fam117b",527,1,1,0.0263735262619578,0.0263735262619578,-0.0572837586870832,-0.0533525517619706,0.00809276584156549
"Cbx1",527,1.20297174405736e-10,2.93195412274728e-09,0.678821741378743,0.180774500383422,0.678821741378743,0.374738833533068,0.647739153120461
"Mrpl21",527,7.13400678542602e-06,0.000153684644673827,0.756379200868092,0.147179219587763,0.164550971011402,0.19236004095233,0.756379200868092
"Ica1l",528,1,1,-0.000846885503731697,-0.000846885503731697,-0.00367100298038048,-0.00375076831753676,0.00120104857374864
"Timp2",528,7.33695826144897e-06,0.000157898678744643,-0.814563724859728,-0.0479600672940537,-0.183687839330538,0.098561097475661,-0.814563724859728
"Wdr12",529,1,1,0.441055152304369,0.167668213130994,0.429437538791173,0.320785922769159,0.441055152304369
"Eps8",529,7.4782137191872e-06,0.000160777859591037,0.719449009227594,0.0327185295877879,-0.0638076437247692,0.0711441433420048,0.719449009227594
"Prmt5",529,4.6037644020403e-06,9.93757409190665e-05,0.663876845532017,0.24193400777824,0.663876845532017,0.531560573415613,0.675001567201031
"Carf",530,1,1,0.00785803128860531,0.00785803128860531,-0.0463605499280715,-0.0465747913215416,0.0334170725938255
"Tspan6",530,1,1,0.532666091878526,0.314361493700427,0.49804357901632,0.532666091878526,0.386446329213664
"Nap1l1",530,1.69429782223788e-10,4.12477188149111e-09,0.6421449757197,0.172275617014468,0.6421449757197,0.437801857189827,0.28392927397148
"Nbeal1",531,1,1,0.0240218886343376,0.0240218886343376,-0.19360478830772,-0.107487992497937,-0.206523194097507
"Arpc3",531,8.3046216377285e-06,0.00017818919468151,-0.730231515991777,-0.237006556119031,-0.618291072737726,-0.3535472102915,-0.730231515991777
"Slc25a39",531,1,1,-0.534861027753708,-0.341322874380088,-0.442882923192918,-0.534861027753708,0.417463909052739
"Cyp20a1",532,1,1,-0.490350846215265,-0.0224577819680428,-0.205061814201411,-0.251734672755256,-0.490350846215265
"Tln1",532,9.3573913138184e-06,0.000200578106040524,-0.721665418747813,-0.334389348233507,-0.296805018517749,-0.113038335182909,-0.721665418747813
"Jpt1",532,2.44750023089141e-10,5.938292273846e-09,0.672289911547759,0.0105867371462867,0.672289911547759,0.355371754093388,0.00681970827723166
"Abi2",533,1,1,-0.0083284357253578,-0.0083284357253578,0.0430990228544385,-0.0354640348988606,-0.013388267651785
"Igsf8",533,9.4283198673869e-06,0.000201897384941327,-0.753736820086167,-0.0599416965807728,0.179886182350268,0.0254475980537527,-0.753736820086167
"Ddx17",533,1,1,-0.5276548535907,0.242207432565892,-0.517255729167101,-0.5276548535907,-0.0151809632963136
"Raph1",534,1,1,0.0255263810683994,0.0255263810683994,-0.282692992883629,-0.395344255600258,-0.185494929410915
"Syce2",534,1,1,-0.535497111090734,-0.298223915379116,-0.0665964670718062,-0.535497111090734,0.174264995531989
