"","d0_mature_skeletal_muscle","d0_MuSCs_and_progenitors","d5_mature_skeletal_muscle","d5_MuSCs_and_progenitors","d7_mature_skeletal_muscle","d7_MuSCs_and_progenitors"
"236","mt-Co2","Rpl39","Ndufa8","Metap2","Sh3bgr","Ndufa5"
"237","mt-Atp6","Tmem59","Tmem38a","Hdgf","Slc25a4","Vdac2"
"238","mt-Co1","Ptms","Sdhb","Pdap1","Scn1b","Fkbp3"
"239","Gstp1","mt-Co2","Sdhd","Rab2a","Ndufa11","Cct7"
"240","Eci1","Rpl17","Gpi1","Fscn1","Bin1","Marcks"
"241","mt-Nd2","Rpl36a","Ndufa11","Pgls","Cystm1","Psmc3"
"242","Rpl35","Rap1b","Cox14","Hnrnpdl","Tmod4","Cyc1"
"243","D10Jhu81e","Tra2b","Ndufa5","Mrpl30","2010107E04Rik","Mrpl30"
"244","Sdha","Eef2","Ndufs7","Glrx3","Ldha","Tcf4"
"245","Ndufa9","Acta1","Ndufs6","Pomp","Atp5g3","Tmed10"
"246","Ppp1cb","Mylpf","Tpm1","Nenf","Ndufa8","Pdcd5"
"247","Rps28","Tnnt3","Pfdn2","Psmb7","Myot","Cfl2"
"248","Mrps24","Myl1","Drap1","Psma5","Uqcrq","Rrbp1"
"249","Rpl6","Tnni2","2410015M20Rik","Rnf7","Ndufa4","Nfic"
"250","Atp5b","Zfand5","Rtn2","Bri3","Ugp2","Pgls"
"251","Sdhd","Aldoa","Psma6","Arl1","Mdh1","Psmb4"
"252","Immp1l","Rpl35a","Hspa9","Lsm4","Rpl3l","Smc6"
"253","Zfand5","Uqcr11","Esd","Cct7","Ndufs3","Fbl"
"254","Idh3g","Rpl21","Mtdh","Impdh2","Pdlim7","Ubxn1"
"255","Pdha1","Gm10073","Cycs","Txndc17","Ptp4a3","Uqcc2"
"256","Sucla2","Rpl13","Ubxn1","Ndufb6","Idh3a","Ndufs7"
"257","Tmsb4x","Ndufa6","Ppp2ca","Psmc3","Sar1b","Nme1"
"258","Morf4l1","Cryab","Mrpl30","Eif4ebp1","2310040G24Rik","S100a16"
"259","Iscu","Calm2","Nop10","Tmed10","Cox14","Arl6ip5"
"260","Dcun1d5","Cnbp","Atp6v1f","Sox4","Mrps21","Ndufv3"
"261","Eif2s2","Hnrnpa2b1","Sirt2","Brk1","Timm8b","Sfpq"
"262","Rps29","mt-Co1","Npc2","Psmb5","Ndufb6","Ppp2ca"
"263","Pnrc1","Hnrnpa1","H2afv","Psmb3","Tmem38a","Lsm6"
"264","Ghitm","Tbca","Ypel3","Tomm22","Tma7","Ndufb6"
"265","Nudt4","Fth1","S100a11","Gnb1","Acyp2","Snrpd1"
"266","Aco2","Tpm1","Ankrd10","Rhoc","Gpi1","Tmem258"
"267","Tmed2","Map1lc3b","Lsm4","Ssr2","Mrpl30","Ttc3"
"268","Timm13","Map1lc3a","Acta1","Cct8","Mlf1","Ndufs2"
"269","Rheb","Rpl27-ps3","Myl1","Ddah2","Pfkm","Rab2a"
"270","Hdgf","Ube2b","Tnnt3","Nono","Ndufb9","Nbl1"
"271","Rpl37","Ldha","Tnni2","2410015M20Rik","Ndufb3","Ssr2"
"272","Atp5a1","Rpl10","Chchd10","Ndufa12","Pdcd5","Mtdh"
"273","Ybx1","Gabarap","Hspb8","Esd","Atp5e","Eif3a"
"274","Ube2d3","Sumo1","Klhl41","Ccnd3","Pigp","Ndufv2"
"275","Prdx1","Malat1","Cryab","Dap","Cox7c","Gdi2"
"276","Rpl41","Hspa1a","Gatm","Map1b","Drap1","Eif4h"
"277","Lmcd1","Junb","Nexn","Rnh1","Atp5j","Ddx39b"
"278","Got2","Eef1a1","Fndc5","C1qbp","Uqcr10","Ndufa11"
"279","Rpl7a","Gpx3","Isyna1","Eif3a","Smdt1","Sdhb"
"280","Rpl36","Fos","Arpp21","Htra3","Ndufs2","Pdap1"
"281","Uqcrc1","Rpl3","Srl","Timp1","Coq10a","Psma5"
"282","Hmgb1","Mt1","Ckm","Cav1","Chchd3","Hnrnpc"
"283","Sec61g","Jund","Tmem38b","Rrbp1","Atp5k","Ube2i"
"284","Vapa","Mt2","Pnmal2","Col5a2","Vdac2","Psmb7"
"285","Mtch2","Ptma","Lmnb2","Postn","Fkbp3","Cct8"
"286","Adipor1","Btg2","Inppl1","Nt5dc2","Usmg5","Rac1"
"287","Timm17a","Id3","Aldoa","Phlda1","Atp5c1","Ncam1"
"288","Calm1","H3f3b","Rnf126","Txndc5","Ndufs4","Rbm8a"
"289","Mrps14","Ddx5","Rbm24","Phlda3","Dnajc19","Sept7"
"290","Smim10l1","Jun","Smim5","Stmn1","Fitm1","Esd"
"291","Dph3","Egr1","Cap2","Pcolce","Pdlim3","Psmb5"
"292","Fth1","Ppia","Macf1","Cd200","Uqcrb","Marcksl1"
"293","Mdh2","Cebpb","Fam213b","Pdgfa","Vdac3","Fundc2"
"294","Tpm2","Actb","Hspb2","Tmem176a","Ndufa1","Sox4"
"295","Pvalb","Cd63","Scrib","Gpx8","Higd1a","Polr2f"
"296","Eno3","Hsp90aa1","Agpat3","Vcam1","Sod2","Ndufs6"
"297","Myl1","Actg1","Fbxo17","Capn2","Fhl1","AY036118"
"298","Tnnc2","Dnajb1","Aif1l","Heyl","Mef2c","Glrx3"
"299","Tcap","Eif4a1","Pkia","Mxra8","Gyg","Nfix"
"300","Car3","Naca","Rbm38","Sri","Mrpl51","Cdc37"
"301","Cox6a2","Apoe","Cobl","Sdc2","Ldb3","Lsm4"
"302","Pgam2","Ppp1r15a","Pgp","Rcn3","Ccng1","Cox14"
"303","Mylpf","Tmsb10","Enah","Tln2","Mrpl33","Tmem234"
"304","Mb","Btg1","Stard7","Tppp3","Jsrp1","Ndufs8"
"305","Tnni2","Rpl9","Akap9","Csrp1","Capza2","Rtn2"
"306","Tnnt3","Fosb","Hspb1","Litaf","Atp5j2","Arhgdia"
"307","Acta1","Chodl","Sap30","Rab34","Psmb7","Fscn1"
"308","Tpm1","Rpl5","Macrod1","Psip1","Ubl5","Nsa2"
"309","Ckm","Nr4a1","Ehd4","Fgfr4","Etfb","Capzb"
"310","Atp2a1","Xist","Stac3","Col1a1","Cox6b1","Rnf7"
"311","Chchd10","Hspa5","Mef2c","Ramp2","Tmem256","Eif3g"
"312","Cox8b","Zbtb20","4833439L19Rik","Dpysl3","Dbi","Psmd8"
"313","Myoz1","Itm2b","Traf3ip3","Socs3","Ndufb5","Gsn"
"314","Cox5a","Crip1","Id1","Myf5","Ndufa10","Socs3"
"315","Actn3","Crlf1","Hip1","Fstl1","Zcrb1","Zfp36"
"316","Tpi1","Crip2","Adssl1","Cd151","Cox6c","Gas1"
"317","Cox7a1","Cox8a","Pgam2","Errfi1","Suclg1","Serping1"
"318","Cox7b","H2-D1","Sec11c","Igfbp3","Sdhc","Errfi1"
"319","Aldoa","Cnn3","Mustn1","Fkbp9","Phlda3","Cebpb"
"320","Ak1","Dnaja1","Ago2","Tsc22d1","Idh3b","Sdc4"
"321","Vdac1","Maff","Sept4","Sdc4","Uqcrc2","Nfia"
"322","Atp5o","Dynll1","Smim20","Fcgrt","Slc25a11","Nfib"
"323","Mpc1","Rbm39","Timm10","Gas1","Art1","Tln2"
"324","Ndufc1","Npm1","Lima1","Serpinf1","Ndufb4","Klf9"
"325","Hspb6","Myl6","Scx","Plp2","0610012G03Rik","Rpl38"
"326","Ndufb8","Eif3h","Cdc42ep3","Clcn5","Psma7","Fgfr4"
"327","Mpc2","Nfkbia","Vma21","Igsf3","D8Ertd738e","Cav1"
"328","Cycs","Pfn1","Mef2a","Emp1","Macrod1","Cd200"
"329","Ndufa5","B2m","Fyttd1","Cnn2","Ptp4a2","Rps26"
"330","Ndufa3","Errfi1","Pdhb","Sh3bgrl","Coq9","Rpl37"
"331","Mrpl42","Gstm1","Rtn4","Mprip","Fabp3","Meg3"
"332","Ndufa12","Ier2","Ralgps2","Mxra7","Mrps36","Zfp36l1"
"333","Myot","Gm11808","Anxa11","Ier5","Des","Vcam1"
"334","Ndufv2","Slc25a5","Fam49b","Sec61a1","Bag1","Rps28"
"335","Uqcrfs1","Rps27rt","Map4","Wls","Hsbp1","Rpl35"
"336","Pygm","Ifrd1","Ak1","Hmgn3","Ndrg2","Myf5"
"337","Ndufs7","Vim","Prune2","Olfml3","Fxyd1","Tpm4"
"338","Sdhb","Sdc4","Aimp2","Tpm3","Ckmt2","Fxyd1"
"339","Ugp2","Hnrnpk","Cdc34","Ahnak","Ddit4l","Mgp"
