"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Tll1",11680,1,1,0.499795004335637,0.499795004335637,0.499731564264816,0.499652668333806,0.437042500184998
"Gm45518",11682,1,1,0.4998505678422,0.4998505678422,0.499855072463768,0.499735262972114,0.5
"Klhl2",11683,1,1,0.501899373928368,0.501899373928368,0.547376825202422,0.51856703937,0.475118521990084
"Gm45345",11684,1,1,0.499871754936874,0.499871754936874,0.500107083078179,0.50020474654019,0.500469483568075
"Tmem192",11685,1,1,0.564933786821346,0.564933786821346,0.417290508266993,0.383626060398158,0.467433462420759
"Trim61",11686,1,1,0.5,0.5,0.5,0.499911754324038,0.5
"Apela",11687,1,1,0.500281690140845,0.500281690140845,0.499267197387222,0.499046217533463,0.500281690140845
"March1",11688,1,1,0.50003836126943,0.50003836126943,0.499897938354766,0.499834777579467,0.50018779342723
"Npy5r",11690,1,1,0.5,0.5,0.499855072463768,0.5,0.495621716287215
"Npy1r",11691,1,1,0.499329561749858,0.499329561749858,0.499795795060216,0.500110849826574,0.484609654423917
"Naf1",11692,1,1,0.511320699651185,0.511320699651185,0.547380458596993,0.472199032529096,0.583771161704612
"Gm39185",11693,1,1,0.499944464555815,0.499944464555815,0.500093896713615,0.500093896713615,0.500093896713615
"Nat1",11694,1,1,0.5,0.5,0.499927536231884,0.5,0.5
"Nat2",11695,1,1,0.514021394756264,0.514021394756264,0.507498305776689,0.501816767175592,0.477264168783865
"Nat3",11696,1,1,0.5,0.5,0.499927536231884,0.5,0.5
"Psd3",11697,1,1,0.500355746753885,0.500355746753885,0.506033340137443,0.486183726668755,0.484998396684838
"Gm15991",11698,1,1,0.501752158698355,0.501752158698355,0.507101231543853,0.507159483551503,0.512695625005139
"Sh2d4a",11699,1,1,0.499701163746776,0.499701163746776,0.499275443968157,0.49911770895996,0.466726030438322
"Csgalnact1",11700,1,1,0.493000457416746,0.493000457416746,0.5176496836089,0.513381209719785,0.32572621954729
"Ints10",11701,1,1,0.511295415449461,0.511295415449461,0.582385969925835,0.532069158094821,0.587530647985989
"Gm33103",11702,1,1,0.5,0.5,0.5,0.5,0.499124343257443
"Slc18a1",11703,1,1,0.50066103735383,0.50066103735383,0.499958957610397,0.500790730972492,0.501408450704225
"Atp6v1b2",11704,1,1,0.469466281650853,0.469466281650853,0.365838470436143,0.354380631358453,0.399523774286114
"Lzts1",11705,1,1,0.504027512354462,0.504027512354462,0.506580240865483,0.499120940491756,0.511412315104873
"Zfp930",11706,1,1,0.502822289384845,0.502822289384845,0.519711873171395,0.46445036615741,0.535447407151608
"D130040H23Rik",11707,1,1,0.500353670137983,0.500353670137983,0.499567394706403,0.500632601349952,0.483903373539544
"Gm45848",11708,1,1,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615,0.500093896713615
"Gm43263",11709,1,1,0.500093896713615,0.500093896713615,0.499586636728584,0.499917405361691,0.500093896713615
"Zfp868",11710,1,1,0.494927781472657,0.494927781472657,0.498006164523372,0.491509953946529,0.501119689532407
"Zfp964",11711,1,1,0.499216694869356,0.499216694869356,0.498390188473838,0.495957585730881,0.499599253430683
"Zfp869",11712,1,1,0.503271708353328,0.503271708353328,0.50945333061169,0.50111221038432,0.509799955600503
"Zfp963",11713,1,1,0.499253989768457,0.499253989768457,0.495312063686467,0.49404567894483,0.498385667184661
"Gm20422",11714,1,1,0.499888929111629,0.499888929111629,0.499970388514663,0.50001126893139,0.50018779342723
"Zfp866",11715,1,1,0.488583270894544,0.488583270894544,0.513347200108866,0.496540388347262,0.510527285135213
"Atp13a1",11716,1,1,0.480704758537277,0.480704758537277,0.539290195277948,0.511356497616124,0.514584741372931
"Gmip",11717,1,1,0.508992981599499,0.508992981599499,0.499048309178744,0.487134178171748,0.519936689606407
"Lpar2",11718,1,1,0.508770334699971,0.508770334699971,0.505175546029802,0.498702001395359,0.519192093600717
"Pbx4",11719,1,1,0.497746114062338,0.497746114062338,0.499899625773967,0.496856647592343,0.494248620737854
"Cilp2",11720,1,1,0.500208980521904,0.500208980521904,0.498845505885555,0.499421555808554,0.499781126925006
"Yjefn3",11721,1,1,0.517461168685755,0.517461168685755,0.485956657821324,0.480266891382416,0.512386801838468
"Tssk6",11723,1,1,0.500498500065947,0.500498500065947,0.500048227529428,0.499087514852617,0.494552510627102
