"","Top","p.value","FDR","summary.logFC","logFC.2","logFC.3","logFC.4","logFC.5"
"Gm30122",11644,1,1,0.00176890998680095,0.00176890998680095,0.00285004709316245,-0.00242188212913841,0.00525122651641688
"Agpat3",11645,1,1,0.237198847689717,0.237198847689717,0.166119420645208,0.0944418711765678,0.206507408619688
"4921516A02Rik",11647,1,1,-0.000195202853740035,-0.000195202853740035,-0.000832583996392266,-0.000414132283484298,-0.000844947793847394
"Pdxk",11648,1,1,0.0275419298282003,0.0275419298282003,-0.0372325183040008,0.0208117110199256,-0.126524699248084
"Gm47944",11649,1,1,0,0,0,0,-0.000261677843510329
"Ilvbl",11650,1,1,-0.0115233418486472,-0.0115233418486472,0.0416684760465087,-0.167655055949842,0.0579056361638785
"Syde1",11651,1,1,0.251070895198451,0.251070895198451,0.24522253095453,0.296308009548907,0.248585449030087
"Casp14",11652,1,1,0.0250363206230107,0.0250363206230107,0.024736777815115,0.0250363206230107,0.0250363206230107
"Ccdc105",11653,1,1,0.00241678089268357,0.00241678089268357,0.00241678089268357,0.00241678089268357,0.00241678089268357
"Slc1a6",11654,1,1,0.0314793840323356,0.0314793840323356,0.0319531216583144,0.0313647069602992,0.0294276534777106
"Olfr1356",11655,1,1,-0.000315490681173889,-0.000315490681173889,-0.000353713025155208,-0.00049183815982171,0
"2610008E11Rik",11656,1,1,0.0444735085111859,0.0444735085111859,0.041710773374051,0.0233226031310261,-0.00633815233912191
"Vmn2r81",11657,1,1,0,0,0,-0.000153447703384852,0
"Gm47015",11658,1,1,-0.0764830855986577,-0.0764830855986577,-0.079142515760332,-0.133062961301115,-0.119380688528634
"Mier2",11659,1,1,0.0646116666807692,0.0646116666807692,0.0527141183960219,0.0822984521322277,0.066772811823087
"C2cd4c",11660,1,1,-0.00132307930927346,-0.00132307930927346,-0.000681654807999713,-0.00187968790379867,-0.000336756664200224
"Shc2",11661,1,1,-0.0353915389489544,-0.0353915389489544,0.0326227800898693,-0.0458104250649452,0.0523686037766754
